iter	RMSE
403	225342.9606
404	225210.923
405	225019.2338
406	224812.59
407	224695.6237
408	224596.6316
409	224442.473
410	224391.064
411	224242.6769
412	224132.8067
413	224016.1202
414	223953.3778
415	223875.3501
416	223711.4949
417	223604.6192
418	223546.0503
419	223491.1456
420	223316.2311
421	223264.6803
422	223055.7456
423	223001.0877
424	222903.2738
425	222727.4208
426	222503.299
427	222451.6791
428	222242.9668
429	222197.5929
430	222124.4118
431	222075.3258
432	222034.9563
433	221939.4123
434	221894.7704
435	221648.9706
436	221382.4909
437	221286.8265
438	221239.7152
439	221195.8119
440	221152.3309
441	221042.8507
442	220986.405
443	220947.2657
444	220688.9804
445	220611.595
446	220303.9843
447	220267.1321
448	220149.3808
449	220005.6546
450	219821.6169
451	219664.4741
452	219498.4394
453	219375.7436
454	219117.692
455	219077.7451
456	219043.873
457	218859.4177
458	218629.5485
459	218403.8718
460	218351.6513
461	218283.7842
462	218234.589
463	218184.4683
464	218097.3511
465	217960.4321
466	217780.2248
467	217599.9076
468	217532.2617
469	217457.0053
470	217363.0199
471	217283.567
472	217111.7248
473	217077.0396
474	217005.139
475	216725.9539
476	216642.3653
477	216563.7782
478	216521.057
479	216372.1157
480	216295.7375
481	216145.5543
482	215920.7985
483	215796.1947
484	215729.063
485	215650.4578
486	215398.918
487	215235.3
488	215176.371
489	215036.4495
490	214961.8805
491	214809.3722
492	214775.321
493	214620.2478
494	214597.2704
495	214471.7145
496	214270.2712
497	214124.533
498	214052.1508
499	213914.2435
500	213783.5721
501	213650.2253
502	213621.0438
503	213552.8464
504	213488.6772
505	213410.9719
506	213385.315
507	213271.5802
508	213219.4982
509	213063.9324
510	212949.7255
511	212836.223
512	212671.127
513	212516.7433
514	212453.3769
515	212413.652
516	212360.3836
517	212247.5019
518	212199.0851
519	212146.3965
520	212115.9768
521	211931.2655
522	211699.7999
523	211566.6236
524	211537.3786
525	211509.3533
526	211409.4498
527	211278.4131
528	211064.3297
529	211024.0215
530	210882.0063
531	210738.9321
532	210641.005
533	210463.4174
534	210212.6176
535	210043.3296
536	209881.6445
537	209807.8668
538	209708.4441
539	209628.5287
540	209515.7884
541	209395.6507
542	209263.9999
543	209026.938
544	208896.6355
545	208771.9283
546	208573.6216
547	208468.2668
548	208348.4698
549	208262.615
550	208163.3749
551	207997.0237
552	207884.5315
553	207790.8214
554	207757.6303
555	207648.1383
556	207556.0153
557	207402.6958
558	207327.0146
559	207165.9743
560	206984.9505
561	206946.4313
562	206771.1486
563	206727.7085
564	206580.4717
565	206455.2671
566	206355.557
567	206231.5711
568	206090.2798
569	205998.0696
570	205863.1069
571	205685.6607
572	205642.9182
573	205510.8019
574	205385.4713
575	205233.7748
576	205115.656
577	205010.7189
578	204970.4645
579	204807.1433
580	204557.4783
581	204529.179
582	204409.7485
583	204352.2223
584	204299.1745
585	204255.0567
586	204171.1416
587	204147.0411
588	203918.2834
589	203835.9678
590	203762.9599
591	203596.6286
592	203499.5033
593	203353.3202
594	203297.6662
595	203247.8045
596	203115.1204
597	203015.408
598	202838.9841
599	202804.5917
600	202729.0089
601	202645.0482
602	202491.9259
603	202415.6395
604	202344.8402
605	202299.3511
606	202207.9675
607	202149.8661
608	202094.5487
609	201915.5902
610	201740.6164
611	201664.1661
612	201633.7852
613	201572.4825
614	201540.5433
615	201465.8561
616	201401.8994
617	201290.2629
618	201156.4779
619	200994.0632
620	200952.6228
621	200889.6016
622	200678.2554
623	200635.511
624	200511.9887
625	200394.5126
626	200363.9078
627	200319.766
628	200151.0501
629	200088.9452
630	200006.9562
631	199877.4815
632	199741.9267
633	199621.9105
634	199474.7572
635	199411.2422
636	199360.139
637	199105.2025
638	199045.9697
639	198903.9768
640	198814.3168
641	198759.5114
642	198648.9388
643	198585.6412
644	198540.6165
645	198476.705
646	198374.2809
647	198345.3554
648	198249.6118
649	198146.4251
650	198107.7749
651	197950.8635
652	197844.7674
653	197728.7086
654	197713.0555
655	197604.9387
656	197566.8306
657	197525.138
658	197485.1521
659	197411.1548
660	197373.5226
661	197346.6263
662	197298.2383
663	197209.3577
664	197131.9802
665	197048.0139
666	197005.2787
667	196947.6003
668	196865.9428
669	196785.4963
670	196759.9832
671	196636.043
672	196601.2376
673	196564.7226
674	196523.7884
675	196427.4724
676	196348.3121
677	196200.5981
678	196056.0074
679	195964.8854
680	195854.0705
681	195633.9339
682	195589.2048
683	195525.1425
684	195416.4541
685	195343.3989
686	195265.1437
687	195239.4735
688	195158.9896
689	195124.7872
690	195045.4024
691	194893.2424
692	194854.7015
693	194685.7094
694	194597.3384
695	194566.639
696	194490.0795
697	194421.5518
698	194392.4338
699	194353.4247
700	194281.5021
701	194173.1618
702	194148.0962
703	194057.0625
704	194026.5568
705	193981.4848
706	193819.5045
707	193800.732
708	193721.7881
709	193687.7039
710	193591.5227
711	193437.5067
712	193410.7159
713	193320.6582
714	193289.6906
715	193236.5664
716	193171.6249
717	193149.5625
718	193126.0126
719	192991.9842
720	192967.2467
721	192917.7423
722	192834.9741
723	192802.9315
724	192676.3211
725	192610.9896
726	192586.5397
727	192558.6971
728	192450.5218
729	192401.9512
730	192252.4289
731	192220.2782
732	192196.8451
733	192093.5096
734	191994.9079
735	191967.5583
736	191945.0395
737	191912.5653
738	191868.8405
739	191727.7717
740	191703.2151
741	191645.7445
742	191554.4407
743	191428.0706
744	191299.3103
745	191252.7675
746	191196.7577
747	191146.2273
748	191097.3118
749	191070.9901
750	190979.8025
751	190844.9719
752	190819.107
753	190709.3041
754	190580.6693
755	190541.6882
756	190497.9423
757	190385.5144
758	190274.6436
759	190182.3933
760	190074.905
761	189953.4801
762	189806.4435
763	189716.5372
764	189700.8921
765	189554.4347
766	189481.0086
767	189420.7225
768	189370.821
769	189282.4339
770	189246.431
771	189158.4823
772	189082.1458
773	188950.1922
774	188870.1018
775	188773.6789
776	188703.0157
777	188616.9417
778	188562.868
779	188496.5745
780	188408.8986
781	188381.1092
782	188300.7774
783	188279.7802
784	188158.5773
785	188028.0749
786	188007.5791
787	187946.7726
788	187876.9384
789	187800.5807
790	187697.845
791	187662.3131
792	187529.4454
793	187417.9808
794	187340.9469
795	187214.8102
796	187081.614
797	187011.3829
798	186995.1223
799	186936.5355
800	186840.8055
801	186825.6041
802	186778.2141
803	186697.4237
804	186587.6265
805	186570.7867
806	186412.4707
807	186359.305
808	186302.8935
809	186226.4167
810	186128.7957
811	186060.2094
812	186034.6344
813	185957.612
814	185881.7789
815	185775.609
816	185665.0089
817	185641.0872
818	185599.0642
819	185494.9025
820	185449.9258
821	185433.8244
822	185369.8765
823	185314.9277
824	185224.8061
825	185162.8579
826	185105.2187
827	185007.888
828	184898.0572
829	184879.696
830	184865.1853
831	184827.7621
832	184769.9935
833	184685.7772
834	184672.2124
835	184592.8089
836	184519.2315
837	184462.8513
838	184450.4354
839	184366.7343
840	184296.7752
841	184198.1752
842	184131.9061
843	184079.8539
844	184064.9164
845	183998.934
846	183948.8077
847	183845.9611
848	183761.8764
849	183664.6129
850	183647.5516
851	183586.8145
852	183543.9723
853	183387.2856
854	183298.5709
855	183166.7982
856	183118.6694
857	183056.2636
858	182958.6988
859	182896.1466
860	182846.3114
861	182754.6824
862	182735.017
863	182678.4215
864	182617.8036
865	182587.1716
866	182497.2208
867	182442.3547
868	182407.996
869	182309.3035
870	182216.4951
871	182141.6193
872	182096.1022
873	182012.7721
874	181904.8403
875	181810.3335
876	181766.4775
877	181710.279
878	181682.9319
879	181604.2141
880	181509.6638
881	181446.3061
882	181399.445
883	181332.7627
884	181304.4571
885	181248.5582
886	181157.6386
887	181120.2205
888	181092.7785
889	181066.7715
890	181051.3411
891	180959.3748
892	180903.6761
893	180878.393
894	180739.2558
895	180651.584
896	180626.2856
897	180541.6773
898	180459.2943
899	180439.559
900	180397.3748
901	180298.9347
902	180273.7761
903	180240.7703
904	180159.7366
905	180066.9326
906	179967.3654
907	179943.5821
908	179868.3219
909	179844.409
910	179765.8168
911	179742.8268
912	179692.3422
913	179670.345
914	179625.4111
915	179573.1594
916	179483.8329
917	179445.2156
918	179351.0169
919	179341.5884
920	179292.0878
921	179232.275
922	179175.7454
923	179088.3022
924	179061.267
925	178955.8503
926	178911.4181
927	178825.6124
928	178806.58
929	178745.4287
930	178685.0239
931	178644.6549
932	178598.7153
933	178578.3876
934	178506.3414
935	178378.3666
936	178366.5925
937	178291.8691
938	178256.0629
939	178174.9849
940	178095.9782
941	178014.8245
942	178002.1607
943	177953.4365
944	177868.5905
945	177820.8838
946	177759.6
947	177682.2108
948	177617.4017
949	177539.4749
950	177511.3421
951	177465.2754
952	177444.6046
953	177378.9548
954	177289.2512
955	177232.5062
956	177225.3026
957	177192.9362
958	177158.98
959	177087.1795
960	177012.5551
961	176978.7238
962	176941.7667
963	176897.7718
964	176850.8482
965	176760.3589
966	176670.7733
967	176651.6864
968	176577.2014
969	176549.8518
970	176521.324
971	176495.3481
972	176473.942
973	176441.575
974	176415.9426
975	176395.2402
976	176377.9015
977	176260.9395
978	176165.1177
979	176112.9522
980	176084.6995
981	176033.9676
982	175970.8612
983	175889.2921
984	175862.8057
985	175819.7686
986	175774.8768
987	175744.5508
988	175713.0332
989	175614.2896
990	175514.6574
991	175491.601
992	175441.2031
993	175365.4062
994	175248.235
995	175205.7128
996	175190.0005
997	175164.6568
998	175147.9797
999	175093.6054
