id,time,province,county,city,area,neighborhood,title,type,price,parking,rooms,sqrm,floor,surface,elevator,tag,img,url
100835665,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle Llorens i Trias, Arenys de Munt",venta,212000,0,3,64,9,outdoor,1,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/d4/f6/03/1100507301.jpg,https://www.idealista.com/inmueble/100835665/
100832560,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet adosado en calle P.P.3 Castell Jalpí, Arenys de Munt",venta,499300,1,5,289,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/50/8a/49/1100515878.jpg,https://www.idealista.com/inmueble/100832560/
99261615,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,865000,0,11,542,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/8d/ab/44/1101337623.jpg,https://www.idealista.com/inmueble/99261615/
99958221,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Masía en Arenys de Munt,venta,222500,0,5,440,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/11/5b/7b/1062376783.jpg,https://www.idealista.com/inmueble/99958221/
99713817,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,549000,1,7,402,None,None,None,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/4a/79/d8/1103883339.jpg,https://www.idealista.com/inmueble/99713817/
98919284,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,2350000,0,12,1200,None,None,None,Lujo,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/de/ed/4b/1101779412.jpg,https://www.idealista.com/inmueble/98919284/
100500940,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de la Generalitat, Arenys de Munt",venta,340000,1,5,178,3,outdoor,1,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/f4/aa/3d/1089723583.jpg,https://www.idealista.com/inmueble/100500940/
97629870,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Ático en riera i Penya, Arenys de Munt",venta,215000,0,3,106,5,outdoor,0,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/07/6f/92/985307814.jpg,https://www.idealista.com/inmueble/97629870/
100517519,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en Generalitat, Arenys de Munt",venta,340000,1,5,178,3,outdoor,1,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/45/dc/da/1090319503.jpg,https://www.idealista.com/inmueble/100517519/
100517519,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en Generalitat, Arenys de Munt",venta,340000,1,5,178,3,outdoor,1,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/45/dc/da/1090319503.jpg,https://www.idealista.com/inmueble/100517519/
97686059,2023-04-01,Barcelona,Maresme,Arenys de Munt,None,None,"Ático en riera i Penya, Arenys de Munt",venta,215000,0,3,106,None,None,0,None,https://img3.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/7f/79/7a/986998811.jpg,https://www.idealista.com/inmueble/97686059/
